category_priority,category_title,category_slug,category_legacy_titles,category_description,situation_priority,situation_title,situation_slug,situation_short_description
17,"Документы, персональные данные и госуслуги",dokumenty-personalnye-dannye-i-gosuslugi,Документы,"Паспорт, СНИЛС, ИНН, загранпаспорт, доверенности, справки, персональные данные, ошибки в документах и Госуслуги.",2,СНИЛС,snils,"Что делать, если ваша ситуация связана с темой: снилс."
17,"Документы, персональные данные и госуслуги",dokumenty-personalnye-dannye-i-gosuslugi,Документы,"Паспорт, СНИЛС, ИНН, загранпаспорт, доверенности, справки, персональные данные, ошибки в документах и Госуслуги.",3,ИНН,inn,"Что делать, если ваша ситуация связана с темой: инн."
17,"Документы, персональные данные и госуслуги",dokumenty-personalnye-dannye-i-gosuslugi,Документы,"Паспорт, СНИЛС, ИНН, загранпаспорт, доверенности, справки, персональные данные, ошибки в документах и Госуслуги.",4,Загранпаспорт,zagranpasport,"Что делать, если ваша ситуация связана с темой: загранпаспорт."
17,"Документы, персональные данные и госуслуги",dokumenty-personalnye-dannye-i-gosuslugi,Документы,"Паспорт, СНИЛС, ИНН, загранпаспорт, доверенности, справки, персональные данные, ошибки в документах и Госуслуги.",5,Доверенность,doverennost,"Что делать, если ваша ситуация связана с темой: доверенность."
17,"Документы, персональные данные и госуслуги",dokumenty-personalnye-dannye-i-gosuslugi,Документы,"Паспорт, СНИЛС, ИНН, загранпаспорт, доверенности, справки, персональные данные, ошибки в документах и Госуслуги.",6,Справки,spravki,"Что делать, если ваша ситуация связана с темой: справки."
17,"Документы, персональные данные и госуслуги",dokumenty-personalnye-dannye-i-gosuslugi,Документы,"Паспорт, СНИЛС, ИНН, загранпаспорт, доверенности, справки, персональные данные, ошибки в документах и Госуслуги.",7,Персональные данные,personalnye-dannye,"Что делать, если ваша ситуация связана с темой: персональные данные."
17,"Документы, персональные данные и госуслуги",dokumenty-personalnye-dannye-i-gosuslugi,Документы,"Паспорт, СНИЛС, ИНН, загранпаспорт, доверенности, справки, персональные данные, ошибки в документах и Госуслуги.",8,Ошибка в документах,oshibka-v-dokumentah,"Что делать, если ваша ситуация связана с темой: ошибка в документах."
17,"Документы, персональные данные и госуслуги",dokumenty-personalnye-dannye-i-gosuslugi,Документы,"Паспорт, СНИЛС, ИНН, загранпаспорт, доверенности, справки, персональные данные, ошибки в документах и Госуслуги.",9,Госуслуги,gosuslugi,"Что делать, если ваша ситуация связана с темой: госуслуги."
17,"Документы, персональные данные и госуслуги",dokumenty-personalnye-dannye-i-gosuslugi,Документы,"Паспорт, СНИЛС, ИНН, загранпаспорт, доверенности, справки, персональные данные, ошибки в документах и Госуслуги.",10,Электронная подпись,elektronnaya-podpis,"Что делать, если ваша ситуация связана с темой: электронная подпись."
17,"Документы, персональные данные и госуслуги",dokumenty-personalnye-dannye-i-gosuslugi,Документы,"Паспорт, СНИЛС, ИНН, загранпаспорт, доверенности, справки, персональные данные, ошибки в документах и Госуслуги.",11,Архивные документы,arhivnye-dokumenty,"Что делать, если ваша ситуация связана с темой: архивные документы."
