ID вопроса,Раздел,Жизненная ситуация,Интент,Дополнительные темы,Длина,Фрагмент вопроса
6403,"Семья, дети и отношения",Материнский капитал и жильё семьи,Документы и сроки,"Недвижимость, жильё и земля, Наследство, завещание и дарение, Долги, кредиты, банки и приставы",420,"Что будет если выделить доли на квартиру купленную в ипотеку с использованием материнского капитала позже 6 месяцев с даты погашения ипотеки? Ипотека погашена в январе, муж умер в феврале. Сейчас на муже кроме долгов нет имущества. Нужно ли открывать дело на наследство? Если пройдет 6 месяцев со смерти мужа и дело на наследство так и не будет открыто, как будет после этого срока проходить выделение долей на квартиру?"
6404,"Долги, кредиты, банки и приставы","Кредиты, займы и МФО",Подать заявление/иск/жалобу,"Потребители, покупки и услуги, Документы, реестры и персональные данные",194,"Добрый день, кредитор подал заявление о включении в реестр требований, приложил договоры юр. услуг на большие суммы. Могу ли я, как кредитор, просить о снижении суммы услуг и на каком основании?"
6405,"Соцподдержка, пенсии, инвалидность и льготы",Детские пособия и выплаты семьям,Подать заявление/иск/жалобу,"Работа, зарплата и трудовые права, Авто, ДТП, штрафы и транспорт",551,"Подскажите пожалуйста будет ли выплата до 1, 5 лет работающим в апреле если заявление одобрили в марте с 2. 03 по 31. 03 и выплата в марте уже была тоже. Просто кто-то говорит что в апреле тоже получали, а не в мае за апрель, т. е пустого месяца не было-это 1 вопрос А 2 вопрос будет ли автоматический перерасчет в мае как сказали в бухгалтерии по этому же пособию потому что якобы они не увидели расчетный год по доходам из другого места работы и сумма была одобрена только исходя из второго места работы, т. е сумма должна быть больше при пересчете."
6406,"Недвижимость, жильё и земля","Регистрация, прописка и выселение",Подать заявление/иск/жалобу,"Военная служба, мобилизация и СВО, Семья, дети и отношения",310,"Добрый день! Муж проходит военную службу в ЛО уже стоит на жил. учете и получает поднаем. Планируем подать документы на меня, но у меня в собственности есть 1/3 квартиры в Сибири и на данный момент там прописка, но скоро получу прописку ЛО. Могут ли мне отказать в постановке на жил. учет и получение поднаема?"
6407,"Недвижимость, жильё и земля","Покупка, продажа и риски сделки",Оценить риски сделки/действия,"Семья, дети и отношения, Авто, ДТП, штрафы и транспорт, Бизнес, ИП, самозанятость и налоги",183,"Вся собственность купленная в браке (машина, квартиры) оформлена на меня. Как это будет учитываться при разделе имущества при разводе? Какие могут быть для меня риски? Налоговые и пр."
6408,"Военная служба, мобилизация и СВО","Выплаты, ранения и госпиталь СВО","Понять, что делать","Семья, дети и отношения, Недвижимость, жильё и земля, Работа, зарплата и трудовые права",526,"Здравствуйте, у меня муж получил ранение, пролежал в госпитале, по ВВК комиссии ему дали 30 дней отпуска. По прикзду в часть ему сказали писать рапорт на отпуск, но он будет проходить при части. Якобы вышел закон для военнослужащих чтобы они ничего не натворили отпуск проводить при части. У нас месяц назад родился малыш, он его даже ни разу не видел т ы боюсь что больше не увидит, ведь ему сказали по окончанию отпуска он едет в штурмовые войска. Что делать помогите, мой муж не был дома не, видел детей и его, не отпускают"
6409,"Военная служба, мобилизация и СВО","Отсрочка, призыв и категория годности",Проверить право/законность,"Недвижимость, жильё и земля, Медицина, лечение и ОМС",273,"Добрый день, пришла повестка на медосмотр в военкомат. Вопрос такой: если я до даты явки по повестке встану на учет в военкомат в другом городе, то отменится ли повестка на медосмотр? И можно ли встать на воинский учет без прописки, только по фактическому месту проживания?"
6410,Прочее / требует ручной разметки,Общее / смешанная ситуация,Оформить/получить,,121,Могу ли я как физическое лицо предлагать людям зарегистрироваться на сайте и при этом оплачивать из регистрацию на карту?
6411,"Семья, дети и отношения",Алименты и содержание детей,Оспорить/обжаловать/отменить,"Соцподдержка, пенсии, инвалидность и льготы, Долги, кредиты, банки и приставы, Документы, реестры и персональные данные",229,"Как оспорить назначение мне единое пособие на трех детей 50 процентов??? Подавал с указанием мирогого соглашения, СФР насчитал за период почти полмилиона алиментов, хотя есть справка от приставов ФССП, что алименты мне не платили"
6412,"Военная служба, мобилизация и СВО","Отсрочка, призыв и категория годности",Оспорить/обжаловать/отменить,"Потребители, покупки и услуги",209,"Пришел в военкомат по повестке для уточнения данных, вклеили мобилизационное предписание Я офицер запаса в военном билете ВУС 521500, а в предписании 021000 Является ли это нарушением и как можно его оспорить?"
6413,"Медицина, лечение и ОМС",Медкомиссия и психиатрия/наркология,"Понять, что делать","Работа, зарплата и трудовые права, Авто, ДТП, штрафы и транспорт, Документы, реестры и персональные данные",277,"Здравствуйте! работаю в отделении мед. осмотров ЦГБ психиатром, также есть нарколог у нас. Можем ли мы подписывать водительские справки? Сейчас ситуауция такая: всех специалистов по водительской комиссии подписывают у нас в отделении, а именно психиатра и нарколога едут в ПНД."
6414,"Соцподдержка, пенсии, инвалидность и льготы","Пенсия, стаж и СФР",Проверить право/законность,,379,"Можно ли получить выплату накопительной части пенсии единовременно? Мужчина, 1967 год рождения, пилот гражданской авиации, получаю страховую пенсию по старости с [контакт скрыт платформой] года. Сумма пенсионных накоплений составляет 413 000 рублей. НПФ сбербанка отказывает в выплате, при расчете ожидаемого срока выплаты применяет 168 месяцев, вместо 270 установленных законом."
6415,"Недвижимость, жильё и земля","Доли, собственность и права жильцов",Документы и сроки,"Наследство, завещание и дарение, Семья, дети и отношения",313,"Здравствуйте Умер один из супругов, в совместной собственности у которых находился жилой дом. То есть владели домом в равных долях. У супругов два сына, один из них умер 6 лет назад. У умершего сына двое детей. Умерший завещание не оставил. Кто имеет право на наследование доли умершего супруга и в каком размере?"
6416,"Недвижимость, жильё и земля","Покупка, продажа и риски сделки",Документы и сроки,"Бизнес, ИП, самозанятость и налоги",191,"Здравствуйте, подскажите как рассчитывается налог с продажи нежилого помещения? Если кадастровая стоимость 1 миллион₽, куплено за 1млн400тыщ, и продано за 1млн600. В собственности менее 5 лет"
6417,"Семья, дети и отношения","Опека, попечительство и несовершеннолетние",Проверить право/законность,"Недвижимость, жильё и земля, Соцподдержка, пенсии, инвалидность и льготы",578,"Добрый день. Не приватизированная квартира, прописано 4 человека, в том, числе инвалид(сидром Дауна), поэтому ОПЕК то же решает жилищный вопрос. Сейчас вопрос встал о приватизации, свекровь не хочет, говорит ОПЕК разрешит прописать новорождённого и без приватизации, но дело в том, что они уже не один раз отказали, ей же прописать её маму сюда. И второй раз был когда пытались прописать внука, который уже был приписан при рождении, но по её желанию мы его выписывали. Имеет ли права ОПЕК отказать прописывать новорождённого? И может ли жто повлиять на получение мат. Капитала?"
6418,"Семья, дети и отношения",Общее / смешанная ситуация,Оформить/получить,"Недвижимость, жильё и земля",168,"Здравствуйте! У гаража три собственника, два брата и мать. Может ли один из братьев оформить землю под гаражом полностью на себя без согласия двух других собственников?"
6419,"Потребители, покупки и услуги","Ремонт, подряд и бытовые услуги",Проверить право/законность,"Недвижимость, жильё и земля, Бизнес, ИП, самозанятость и налоги",782,"Какие действия необходимо предпринять, чтобы начисления начали производиться по показаниям счётчика? Нужно ли проводить проверку или повторную регистрацию прибора учёта? Возможно ли в данной ситуации пересчитать начисления? В моей квартире установлен прибор учёта воды. Ранее, на протяжении примерно трёх лет, я не передавала показания счётчика. Причина была в том, что в доме фактически отсутствовал нормальный напор воды — из крана шла только очень тонкая струйка, пользоваться водой в обычном режиме было невозможно. В прошлом году в доме провели ремонт, после чего нормальное водоснабжение восстановилось. С этого момента я возобновила передачу показаний счётчика. Однако расчётно-кассовый цен..."
6420,"Недвижимость, жильё и земля","Регистрация, прописка и выселение",Взыскать/вернуть деньги,"Авто, ДТП, штрафы и транспорт",454,"Добрый день! У меня возникла сложная ситуация. С детства я прописана в квартире, но недавно мне начали звонить родственники и говорить «срочно выписывайся, квартира под снос!! Дали неделю чтоб ты выписалась, иначе штраф 35к!! » Я облазила весь интернет, но как я поняла, мне наоборот полагается компенсация, или нет? Что мне делать? Кто грозит штрафом мне так и не сказали, но каждый день они на меня давят чтобы я приехала с другого города и выписалась."
6421,"Семья, дети и отношения","Брак, ЗАГС и личные отношения",Документы и сроки,"Недвижимость, жильё и земля, Долги, кредиты, банки и приставы, Потребители, покупки и услуги",252,"Три месяца назад был взят кредит менее чем на 1, 5 млн на ремонт квартиры. Сама являюсь самозанятой, есть двое детей 5 лет, законный брак, супруг тоже самозанятый. Никакого имущества нет ни на мне ни на нем. Только ипотека. Могу ли пойти в банкротство?"
6422,"Недвижимость, жильё и земля","Регистрация, прописка и выселение",Оформить/получить,"Суды, иски и защита прав, Документы, реестры и персональные данные",641,"Здравствуйте! Я получил судебное решение, подтверждающее мое право собственности на 54/100 долю дома по приобретательной давности. Теперь мне предстоит оформить это право в МФЦ. Дом уже стоит на кадастровом учете, и второй собственник (46/100) зарегистрирован. Подскажите, пожалуйста, каков правильный порядок действий: следует ли мне сначала повторно ставить объект на кадастровый учет, а затем регистрировать право собственности, или я могу сразу подавать заявление на регистрацию права собственности, опираясь на кадастровый номер, указанный в судебном решении? Нужно ли мне предварительно запрашивать выписку о кадастровом учете объекта?"
6423,"Военная служба, мобилизация и СВО",Мобилизация и воинский учёт,Оформить/получить,"Недвижимость, жильё и земля, Потребители, покупки и услуги, Образование, школа и вуз",304,"Как встать на воинский учет после медицинского колледжа, если я проживаю не по адресу постоянной регистрации? По обстоятельствам на время учебы переехала на другой конец страны, здесь у меня нет временной прописки. Сейчас заканчиваю учебу. Как и в течение какого времени мне нужно получить военный билет?"
6424,"Долги, кредиты, банки и приставы","Кредиты, займы и МФО","Понять, что делать","Потребители, покупки и услуги, Суды, иски и защита прав, Документы, реестры и персональные данные",492,"Дружили в человеком Помогали друг другу во всем в сложное время Был период когда она просила помогать ей брать микрозаймы на ее паспорт, на ее карту. Что то делалось с моего телефона, я уже не вспомню все. Прошло несколько лет. Все гасились не своевременно, но платилось и долгов нет Сейчас мы сильно поругались и она сказала, что подаст на меня в суд за то, что я якобы оформляла все на нее без ее ведома и она была не в курсе об этих микрозамах и тд. Могут ли меня привлечь к ответвенности?"
6425,Прочее / требует ручной разметки,Общее / смешанная ситуация,Проверить право/законность,,229,"Можно ли гражданке, имеющей ВНЖ, продлить регистрацию по месту жительства раньше окончания срока. Срок регистрации заканчивается 25 июня 2026 года, могу продлить регистрацию по тому же адресу раньше окончания срока, в начале мая?"
6426,"Работа, зарплата и трудовые права","Отпуск, больничный, декрет","Понять, что делать",,210,"После продолжительного больничного сотрудник вышел на работу, но на его место уже приняли другого человека и сообщили, что работы больше нет. Нужно понять, какие действия доступны и как защитить трудовые права."
6427,"Семья, дети и отношения","Родительские права, отцовство, усыновление",Подать заявление/иск/жалобу,"Суды, иски и защита прав, Военная служба, мобилизация и СВО, Соцподдержка, пенсии, инвалидность и льготы",318,"Я официальная супруга, муж погиб на СВО. Подали в суд на установление отцовства. Есть готовый днк тест. Суд прошёл, иск удовлетворён. Нужно ждать чтобы решение суда, вступила в силу. Отец погибшего подал уже документы на выплаты. Что нужно сделать, чтобы выплаты заморозить, до вступления решения суда в законную силу?"
6428,"Недвижимость, жильё и земля","Регистрация, прописка и выселение",Документы и сроки,"Наследство, завещание и дарение, Соцподдержка, пенсии, инвалидность и льготы",154,"В квартире прописаны(я, муж, сын) более 20 лет, полгода назад умер сын, я вступила в его долю. Какой процент я должна выплатить в случае продажи квартиры?"
6429,"Долги, кредиты, банки и приставы",Приставы и исполнительное производство,Проверить право/законность,"Работа, зарплата и трудовые права, Военная служба, мобилизация и СВО, Семья, дети и отношения",556,"Можно ли так сделать мне в этой ситуации? Приставы наложили аресты на банковские карты у меня есть исполнительные производства. В банк отправили постановление на сохранение прожиточного минимума, а в бухгалтерию отправили взыскание на 50% от заработной платы. Ходила к приставам писала заявление чтобы оставили и на ребёнка еще прожиточный минимум но пока без результата. Я пошла в бухгалтерию написала заявление что буду получать зарплату на руки через кассу, раз там 50% буду получать. Законно ли это? Какие могут быть последствия для меня и бухгалтерии?"
6430,"Семья, дети и отношения","Брак, ЗАГС и личные отношения","Понять, что делать","Документы, реестры и персональные данные",197,Здравствуйте. Муж был в реестре. Покинул Россию на 3 дня и сняли с реестра. Возвращался в Россию и через месяц попал снова в реестр. Как нам быть и что делать? И от чего так? Нет никакого нарушения
6431,"Семья, дети и отношения","Опека, попечительство и несовершеннолетние",Оформить/получить,"Военная служба, мобилизация и СВО, Соцподдержка, пенсии, инвалидность и льготы",556,"Здравствуйте. Бывший гражданский супруг на СВО бп. Пошёл третий месяц. Есть мама папа, оба пенсионеры. Есть 2 несовершеннолетних детей ( наша дочь, и старший сын ) от разных женщин. В военкомат ездила первая гражданская жена, оформляла пособие на ребёнка, ей сказали что на сына можно оформить только указ 1110, а дд не положено. В фзо родителям сказали что дд им не положено, только детям бойца. Я прочла что можно оформить на одного ребёнка и то и другое. Сама еще в военкомат не обращалась. Как разобраться кому что положено, на каком основании. Спасибо"
6432,"Недвижимость, жильё и земля","Земля, гараж, кадастр и Росреестр","Понять, что делать","Семья, дети и отношения",325,"Здравствуйте! Что делать и как быть. Ранее было оформлено согласие, что дети не против, что я приватизировать на себя три комнаты в коммуналке. Но приватизация не произошла, отказ так как у каждой комнаты свой кадастровый номер. И теперь мы решили приватизировать каждый на себя по комнате. Что делать с согласием и как быть?"
6433,"Работа, зарплата и трудовые права","Отпуск, больничный, декрет","Понять, что делать",,213,"Не работал официально 2024, 2025 год. Официально устроился 25 февраля 2026. Ушел на больничный 6 апреля по 8 апреля. Официальная зарплата в месяц 50 тысяч рублей. Сколько оплатят больничный за три дня больничного?"
6434,"Недвижимость, жильё и земля","Покупка, продажа и риски сделки",Документы и сроки,,351,Добрый меня зовут антон мне 23 года и у меня есть сестра ей 22 года У нас были 1/2 у меня и 1/2 у сестры доли в квартире в москве 4 года назад мы продали за 4000000 Квартиру так как покупаль обманым путем сказал сто ли бо он купит за 4000000 ли боже ее могут отобрать Прошло 4 года Мы были молодыми боялись Подскажите можем мы сейчас ее как то вернуть
6435,"Работа, зарплата и трудовые права",Приём на работу и испытательный срок,Документы и сроки,"Соцподдержка, пенсии, инвалидность и льготы",417,"Подскажите пожалуйста работодатель не платит зарплату с 4 мая через несколько Здравствуйте, подскажите пожалуйста, работодатель, не платит зарплату с 4 мая, через несколько дней у меня заканчивается испытательный срок, работодатель попросил написать заявление по собственному, резко и непредупредив. На соглашение сторон согласился, но потом в ответе написал, что выплатит только оклад. Как действовать в этом случае?"
6436,"Долги, кредиты, банки и приставы",Коллекторы и взыскание долгов,Документы и сроки,"Недвижимость, жильё и земля, Работа, зарплата и трудовые права",492,"Имеются задолжности в размере 391000 руб. Были кредиты, микрозаймы, долги за ЖКХ (около 8 лет назад). Общий размер долгов на тот момент составлял 135 000 рублей. С того времени было взыскано приставами и внесено мной около 40 000 руб. При этом ощущение, что одни и те же суммы выставляются приставами по нескольку раз. Как выяснить, почему так выросли долги (мои ли они вообще) и попытаться списать хотя бы часть, например, по истечению срока давности? На банкротство не иду (есть имущество)."
6437,"Уголовные вопросы, полиция и безопасность",Мошенничество и киберпреступления,Проверить право/законность,"Работа, зарплата и трудовые права, Потребители, покупки и услуги, Авто, ДТП, штрафы и транспорт",378,"Подскажите, если человек, попытался купил права онлайн, у человека, который представился сотрудником ГАИ (но сим в итоге не являлся). Перевёл ему денежные средства, но в процессе разговора, понял что человек был мошенником. Что можно предпринять жертве? Можно ли с этим идти в полицию? Или на жертву тоже могут завести уголовное дело при попытке покупки документа у левого лица?"
6438,"Семья, дети и отношения","Брак, ЗАГС и личные отношения","Понять, что делать","Военная служба, мобилизация и СВО, Работа, зарплата и трудовые права, Долги, кредиты, банки и приставы",299,"Здравствуйте. Я нахожусь на СВО, алименты детям не плачу, когда то нал давал, в итоге бывшая жена все сделала по хитрому, якобы я вообще не платил. Оф не работал. Могут ли лишить род прав (долг 2, 5 млн) и может ли суд пройти без меня? Вроде если человек на СВО находится, суд должен приостановиться"
6439,"Авто, ДТП, штрафы и транспорт",Общее / смешанная ситуация,Документы и сроки,"Документы, реестры и персональные данные",237,"Здравствуйте! Подскажите пожалуйста, нужно ли мне открепляться от прежнего ГИБДД? Я сдала только теорию, город сдать не успеваю, планирую сдать в другом регионе. Какой пакет документов мне собрать, кроме справки об успешно сданой теории?"
6440,"Суды, иски и защита прав",Общее / смешанная ситуация,Документы и сроки,,130,"Вызвали на беседу в суд по делу о дтп(возмещение вреда). Подскажите, какую позицию следует подготовить? Как проходит беседа в суде"
6441,"Недвижимость, жильё и земля","Покупка, продажа и риски сделки",Оспорить/обжаловать/отменить,"Суды, иски и защита прав, Долги, кредиты, банки и приставы, Соцподдержка, пенсии, инвалидность и льготы",733,"Здравствуйте. Сложилась сложная ситуация. Прошел Арбитражный суд признали банкротом и на этом дело остановилось. В реализации имущество возникли проблемы, есть доп доля в квартире, хозяйкой квартиры является мама инвалид. Не один нотариус не берется за переоформление доли. Доля продана на торгах, до этого звонили с предлагали им заплатить определённую сумму чтоб оставить долю себе. На вопросы отвечают что изменений нет. Сама процедура длится третий год. Могу ли я обжаловать решение Арбитражного суда и расторгнуть договор с банкротством. Сумма долго 600 000 рублей. Года сама с процентами все выплатить. Есть подозрения что нарвались на мошенников. И свидетелей несколько, в том числе люди ко..."
6442,"Работа, зарплата и трудовые права",Общее / смешанная ситуация,Подать заявление/иск/жалобу,"Уголовные вопросы, полиция и безопасность",474,"Здравствуйте. Подала заявление в прокуратуру по факту оскорблений. Аудиозапись не приложила, но написала, что готова предоставить. Пришёл отказ в возбуждении дела, написали, что в ходе проверки правонарушение не подтвердилось. Как проводилась проверка? Так, что мне о ней ничего не было известно. То есть сотрудник прокуратуры просто спросил у оскорбившего, говорил он оскорбления или нет и все? Должны ли были запросить у меня аудиозапись, про которую я писала в заявлении?"
6443,"Недвижимость, жильё и земля",Общее / смешанная ситуация,Документы и сроки,,555,"Здравствуйте. У нас в многоквартирном доме в новостройке в подвале воды по колено. Пишем в чате ТСН о случившемся, ответ последовал такой: без паники, из за грунтовых вод появилась вода в подвале, это типо нормально, везде так сказали сейчас, так что не беспокойтесь через неделю уйдет вода из подвала. Вопрос такой это нормально, что вода в подвале выше колен? Рядом квартиры 88 года постройки, так там никогда в подвалах такого нет, а тут через дорогу новостройки и там почему вода есть. Как с этим бороться, куда обращаться, если ТСН говорит само уйдёт"
6444,Прочее / требует ручной разметки,Общее / смешанная ситуация,Проверить право/законность,,96,"Скажите пожалуйста законно ли проводилась проверка алкотестером, учитывая как заполнен протокол?"
6445,"Миграция, гражданство и въезд в РФ","Въезд, выезд, граница и RuID",Документы и сроки,"Медицина, лечение и ОМС",672,Добрый вечер. Нам нужно найти и привезти в Россию препарат «Тамоксифен» Индейского производства. В России он больше не продается из-за санкций. Из вариантов ближайшее это Беларусь. Подскажите как перевозить через границу? Сколько упаковок можно ввозить? Может ли чужой человек имея наш рецепт от врача покупать и перевозить через границу этот препарат не для личного пользования? Или это обязательно должен быть сам больной или его родственник? Могут ли баеры таким образом покупать препараты по нашему рецепту и присылать по почте лекарства? Если мы сами не можем выехать за границу может Вы знаете какие-то пути решения данной проблемы. Заранее большое спасибо за ответ!
6446,"Семья, дети и отношения",Общее / смешанная ситуация,"Понять, что делать","Наследство, завещание и дарение, Медицина, лечение и ОМС, Недвижимость, жильё и земля",503,"После смерти отца, оказалось что у него есть внебрачный сын 16 лет! Его мать подала на наследство. Наследству подлежит только дом. Мы не уверены, что ребенок реально его, а не просто вписан в свидетельство. Отец болел, у него был рак. Ухаживали, возили по больницам, покупали лекарства и в дальнейшем хоронили полностью мы, никакого участия с их стороны не было! Они не присутствовали на похоронах. Далее после смерти денежные обязательства в виде кредита тоже закрывали мы! Что делать в такой ситуации?"
6447,"Долги, кредиты, банки и приставы",Приставы и исполнительное производство,Проверить право/законность,"Соцподдержка, пенсии, инвалидность и льготы, Бизнес, ИП, самозанятость и налоги",449,"Я просрочила кредит в хоум кредит в 2013 году, в 2021 году через ФССП списали долг (присылали 50% от пенсии, остальное приходило на карту). В январе 22 аресты сняли, ип закрыли. В 25 году уже совкомбанк заявляет требования на этот же долг уже в трехкраатном размере. Как поступить, чтоб признать действия банка неправомерными? Звонят, говорят что надо платить второй раз, в офисе делают вид что не понимают, просто регистрируют высешленное обращение"
6448,"Недвижимость, жильё и земля","Доли, собственность и права жильцов",Документы и сроки,,279,"Добрый день! Имею участок в долевой собственности 1/2 с сестрой, доли в натуре не выделены. На участке стоит дом, находящийся в моей собственности. Планирую проводить реконструкцию дома, делать пристройки-комнаты. Нужно ли мне согласие второго собственника на реконструкцию дома?"
6449,"Военная служба, мобилизация и СВО","Контракт, служба и увольнение","Понять, что делать","Работа, зарплата и трудовые права, Авто, ДТП, штрафы и транспорт",374,"Доброго времени суток! Такая ситуация, я военнослужащий по контракту, за пару недель перед убытием на СВО, остановили сотрудники ДПС с алкогольным опьянением. Дело отдали в суд, но письмо на руки я так и не получил так как уже уехал. Остановили в начале ноября 2025г., по сей день нахожусь на СВО. Что делать, чтобы водительские права не забрали когда вернусь с командировки"
6450,"Миграция, гражданство и въезд в РФ",Регистрация и сроки пребывания,Подать заявление/иск/жалобу,"Работа, зарплата и трудовые права, Долги, кредиты, банки и приставы, Медицина, лечение и ОМС",1948,"Здравствуйте. Я забрал вид на жительство в Российской Федерации 10 июня 2025 года в миграционном центре; имеется подтверждающая справка (хотя в самом документе дата раньше). После получения документа была оформлена постоянная регистрация, и я проживал в Московской области. 30 сентября я выехал из России в Приднестровье на срок до шести месяцев. 21 марта я вернулся в Россию, в Московскую область, однако заболел пневмонией, проходил лечение и сейчас уже выздоровел, остался только бронхит, иду на выздоровление. За указанный период на территории России у меня отсутствовал официальный доход. Согласно моему пониманию законодательства, ежегодное уведомление о проживании по виду на жительство нео..."
6451,"Авто, ДТП, штрафы и транспорт","ДТП, ОСАГО и возмещение ущерба",Взыскать/вернуть деньги,"Работа, зарплата и трудовые права, Бизнес, ИП, самозанятость и налоги",397,"Добрый день. Работая на ип без договора и управляя рабочим автомобилем произошло ДТП по моей вине, гаи составили протокол, через три месяца страховая работодателя прислала на меня регресс, возместить страховой компании уплаченный потерпевшей стороне ущерб. Оказывается работодатель не вписал меня в полис ОСАГО. Вопрос как возложить оплату регресса на работодателя, который не вписал меня в полис?"
